EmployeeID;JobInvolvement;PerformanceRating;SurveyDate
109;4;3;31/12/2015
110;3;3;31/12/2015
111;2;4;31/12/2015
112;3;4;31/12/2015
113;3;3;31/12/2015
114;4;3;31/12/2015
115;3;3;31/12/2015
116;3;3;31/12/2015
117;2;3;31/12/2015
118;3;3;31/12/2015
119;3;4;31/12/2015
120;3;3;31/12/2015
121;3;4;31/12/2015
122;3;3;31/12/2015
123;3;3;31/12/2015
124;3;3;31/12/2015
125;3;3;31/12/2015
126;2;3;31/12/2015
127;3;3;31/12/2015
128;2;3;31/12/2015
129;3;3;31/12/2015
130;2;3;31/12/2015
131;2;3;31/12/2015
132;2;3;31/12/2015
133;3;3;31/12/2015
134;2;3;31/12/2015
135;2;4;31/12/2015
136;3;4;31/12/2015
137;2;3;31/12/2015
138;2;3;31/12/2015
139;3;3;31/12/2015
140;4;3;31/12/2015
141;2;4;31/12/2015
142;3;3;31/12/2015
143;1;4;31/12/2015
144;3;3;31/12/2015
145;3;3;31/12/2015
146;2;3;31/12/2015
147;2;3;31/12/2015
148;3;3;31/12/2015
149;2;4;31/12/2015
150;3;3;31/12/2015
151;3;3;31/12/2015
152;2;3;31/12/2015
153;3;4;31/12/2015
154;3;3;31/12/2015
155;2;3;31/12/2015
156;3;3;31/12/2015
157;2;3;31/12/2015
158;3;4;31/12/2015
159;3;3;31/12/2015
160;2;3;31/12/2015
161;4;4;31/12/2015
162;2;3;31/12/2015
163;3;3;31/12/2015
164;2;3;31/12/2015
165;3;3;31/12/2015
166;3;3;31/12/2015
167;3;3;31/12/2015
168;3;3;31/12/2015
169;3;4;31/12/2015
170;3;4;31/12/2015
171;2;3;31/12/2015
172;2;4;31/12/2015
173;3;3;31/12/2015
174;3;3;31/12/2015
175;4;3;31/12/2015
176;2;3;31/12/2015
177;3;3;31/12/2015
178;2;4;31/12/2015
179;3;4;31/12/2015
180;3;3;31/12/2015
181;1;4;31/12/2015
182;2;3;31/12/2015
183;4;4;31/12/2015
184;2;3;31/12/2015
185;3;3;31/12/2015
186;3;3;31/12/2015
187;3;3;31/12/2015
188;3;3;31/12/2015
189;2;3;31/12/2015
190;2;3;31/12/2015
191;3;3;31/12/2015
192;3;3;31/12/2015
193;2;3;31/12/2015
194;3;3;31/12/2015
195;3;4;31/12/2015
196;3;3;31/12/2015
197;2;3;31/12/2015
198;3;3;31/12/2015
199;3;3;31/12/2015
200;4;3;31/12/2015
201;2;3;31/12/2015
202;2;3;31/12/2015
203;2;3;31/12/2015
204;2;3;31/12/2015
205;2;3;31/12/2015
206;1;4;31/12/2015
207;3;3;31/12/2015
208;3;3;31/12/2015
209;3;3;31/12/2015
210;3;3;31/12/2015
211;3;3;31/12/2015
212;2;4;31/12/2015
213;2;3;31/12/2015
214;3;3;31/12/2015
215;3;3;31/12/2015
216;1;3;31/12/2015
217;2;3;31/12/2015
218;3;3;31/12/2015
219;1;3;31/12/2015
220;3;3;31/12/2015
221;2;3;31/12/2015
222;3;4;31/12/2015
223;3;3;31/12/2015
224;3;3;31/12/2015
225;2;3;31/12/2015
226;3;3;31/12/2015
227;3;3;31/12/2015
228;3;3;31/12/2015
229;3;3;31/12/2015
230;1;3;31/12/2015
231;3;3;31/12/2015
232;3;3;31/12/2015
233;4;3;31/12/2015
234;3;3;31/12/2015
235;4;3;31/12/2015
236;4;4;31/12/2015
237;2;4;31/12/2015
238;3;3;31/12/2015
239;1;3;31/12/2015
240;3;3;31/12/2015
241;2;3;31/12/2015
242;3;3;31/12/2015
243;3;3;31/12/2015
244;3;3;31/12/2015
245;2;3;31/12/2015
246;3;3;31/12/2015
247;3;3;31/12/2015
248;4;3;31/12/2015
249;2;3;31/12/2015
250;3;3;31/12/2015
251;3;3;31/12/2015
252;3;4;31/12/2015
253;2;3;31/12/2015
254;2;3;31/12/2015
255;1;3;31/12/2015
256;2;3;31/12/2015
257;3;3;31/12/2015
258;4;3;31/12/2015
259;3;3;31/12/2015
260;3;3;31/12/2015
261;2;4;31/12/2015
262;2;3;31/12/2015
263;4;3;31/12/2015
264;3;3;31/12/2015
265;4;3;31/12/2015
266;4;3;31/12/2015
267;3;4;31/12/2015
268;1;3;31/12/2015
269;3;3;31/12/2015
270;1;3;31/12/2015
271;2;3;31/12/2015
272;2;3;31/12/2015
273;2;4;31/12/2015
274;3;3;31/12/2015
275;3;3;31/12/2015
276;3;3;31/12/2015
277;3;3;31/12/2015
278;3;4;31/12/2015
279;4;4;31/12/2015
280;2;3;31/12/2015
281;3;3;31/12/2015
282;4;4;31/12/2015
283;2;3;31/12/2015
284;3;3;31/12/2015
285;3;3;31/12/2015
286;2;3;31/12/2015
287;2;4;31/12/2015
288;3;3;31/12/2015
289;3;3;31/12/2015
290;3;4;31/12/2015
291;3;3;31/12/2015
292;4;3;31/12/2015
293;3;3;31/12/2015
294;2;3;31/12/2015
295;3;3;31/12/2015
296;3;3;31/12/2015
297;3;3;31/12/2015
298;2;3;31/12/2015
299;3;3;31/12/2015
300;3;3;31/12/2015
301;1;3;31/12/2015
302;3;3;31/12/2015
303;2;3;31/12/2015
304;3;3;31/12/2015
305;3;3;31/12/2015
306;3;3;31/12/2015
307;3;3;31/12/2015
308;1;3;31/12/2015
309;3;3;31/12/2015
310;3;3;31/12/2015
311;3;3;31/12/2015
312;1;3;31/12/2015
313;3;3;31/12/2015
314;3;3;31/12/2015
315;3;3;31/12/2015
316;3;3;31/12/2015
317;3;3;31/12/2015
318;3;3;31/12/2015
319;3;3;31/12/2015
320;3;3;31/12/2015
321;3;3;31/12/2015
322;3;3;31/12/2015
323;2;3;31/12/2015
324;3;3;31/12/2015
325;4;3;31/12/2015
326;3;4;31/12/2015
327;4;3;31/12/2015
328;2;3;31/12/2015
329;3;3;31/12/2015
330;2;3;31/12/2015
331;1;3;31/12/2015
332;4;3;31/12/2015
333;3;3;31/12/2015
334;2;3;31/12/2015
335;4;3;31/12/2015
336;3;4;31/12/2015
337;2;3;31/12/2015
338;3;3;31/12/2015
339;4;3;31/12/2015
340;3;3;31/12/2015
341;2;3;31/12/2015
342;3;3;31/12/2015
343;2;3;31/12/2015
344;3;3;31/12/2015
345;3;3;31/12/2015
346;3;3;31/12/2015
347;3;3;31/12/2015
348;3;3;31/12/2015
349;3;3;31/12/2015
350;4;3;31/12/2015
351;4;3;31/12/2015
352;2;3;31/12/2015
353;2;4;31/12/2015
354;3;3;31/12/2015
355;2;3;31/12/2015
356;3;3;31/12/2015
357;3;4;31/12/2015
358;3;3;31/12/2015
359;3;3;31/12/2015
360;3;3;31/12/2015
361;4;3;31/12/2015
362;2;3;31/12/2015
363;2;4;31/12/2015
364;3;3;31/12/2015
365;3;4;31/12/2015
366;3;3;31/12/2015
367;4;3;31/12/2015
368;3;3;31/12/2015
369;1;3;31/12/2015
370;3;3;31/12/2015
371;3;3;31/12/2015
372;3;3;31/12/2015
373;2;3;31/12/2015
374;3;3;31/12/2015
375;2;3;31/12/2015
376;2;4;31/12/2015
377;3;3;31/12/2015
378;2;3;31/12/2015
379;4;3;31/12/2015
380;3;3;31/12/2015
381;3;3;31/12/2015
382;3;3;31/12/2015
383;3;4;31/12/2015
384;2;3;31/12/2015
385;4;3;31/12/2015
386;3;4;31/12/2015
387;3;3;31/12/2015
388;3;3;31/12/2015
389;2;3;31/12/2015
390;4;3;31/12/2015
391;1;3;31/12/2015
392;4;4;31/12/2015
393;3;3;31/12/2015
394;3;3;31/12/2015
395;3;3;31/12/2015
396;3;4;31/12/2015
397;2;3;31/12/2015
398;3;3;31/12/2015
399;2;3;31/12/2015
400;4;3;31/12/2015
401;3;3;31/12/2015
402;3;3;31/12/2015
403;3;3;31/12/2015
404;3;3;31/12/2015
405;1;3;31/12/2015
406;3;3;31/12/2015
407;3;3;31/12/2015
408;3;4;31/12/2015
409;3;3;31/12/2015
410;4;3;31/12/2015
411;3;4;31/12/2015
412;3;3;31/12/2015
413;3;3;31/12/2015
414;3;3;31/12/2015
415;2;3;31/12/2015
416;3;3;31/12/2015
417;3;4;31/12/2015
418;3;3;31/12/2015
419;3;4;31/12/2015
420;2;3;31/12/2015
421;3;3;31/12/2015
422;3;3;31/12/2015
423;2;3;31/12/2015
424;3;3;31/12/2015
425;2;3;31/12/2015
426;2;3;31/12/2015
427;3;3;31/12/2015
428;2;3;31/12/2015
429;3;3;31/12/2015
430;1;3;31/12/2015
431;3;3;31/12/2015
432;3;3;31/12/2015
433;3;3;31/12/2015
434;2;3;31/12/2015
435;3;4;31/12/2015
436;3;3;31/12/2015
437;3;3;31/12/2015
438;2;3;31/12/2015
439;3;3;31/12/2015
440;3;3;31/12/2015
441;2;3;31/12/2015
442;3;3;31/12/2015
443;1;3;31/12/2015
444;3;3;31/12/2015
445;2;3;31/12/2015
446;3;4;31/12/2015
447;1;3;31/12/2015
448;2;3;31/12/2015
449;3;3;31/12/2015
450;3;3;31/12/2015
451;3;3;31/12/2015
452;3;4;31/12/2015
453;3;3;31/12/2015
454;2;3;31/12/2015
455;3;3;31/12/2015
456;3;3;31/12/2015
457;2;4;31/12/2015
458;2;3;31/12/2015
459;3;3;31/12/2015
460;3;3;31/12/2015
461;4;3;31/12/2015
462;3;3;31/12/2015
463;2;3;31/12/2015
464;3;3;31/12/2015
465;2;3;31/12/2015
466;3;3;31/12/2015
467;3;3;31/12/2015
468;2;3;31/12/2015
469;3;3;31/12/2015
470;3;3;31/12/2015
471;3;3;31/12/2015
472;3;3;31/12/2015
473;2;3;31/12/2015
474;3;3;31/12/2015
475;3;3;31/12/2015
476;3;4;31/12/2015
477;3;4;31/12/2015
478;3;3;31/12/2015
479;3;3;31/12/2015
480;3;3;31/12/2015
481;4;3;31/12/2015
482;3;3;31/12/2015
483;3;3;31/12/2015
484;4;3;31/12/2015
485;4;4;31/12/2015
486;2;3;31/12/2015
487;4;3;31/12/2015
488;2;3;31/12/2015
489;3;3;31/12/2015
490;4;3;31/12/2015
491;2;3;31/12/2015
492;4;3;31/12/2015
493;3;3;31/12/2015
494;2;3;31/12/2015
495;3;3;31/12/2015
496;4;3;31/12/2015
497;3;3;31/12/2015
498;2;3;31/12/2015
499;1;4;31/12/2015
500;2;3;31/12/2015
501;3;3;31/12/2015
502;3;4;31/12/2015
503;4;4;31/12/2015
504;3;3;31/12/2015
505;3;3;31/12/2015
506;2;3;31/12/2015
507;4;3;31/12/2015
508;1;3;31/12/2015
509;3;3;31/12/2015
510;3;4;31/12/2015
511;3;3;31/12/2015
512;2;3;31/12/2015
513;2;3;31/12/2015
514;3;3;31/12/2015
515;3;3;31/12/2015
516;3;3;31/12/2015
517;2;3;31/12/2015
518;2;4;31/12/2015
519;2;4;31/12/2015
520;3;3;31/12/2015
521;3;3;31/12/2015
522;3;4;31/12/2015
523;2;3;31/12/2015
524;1;3;31/12/2015
525;3;3;31/12/2015
526;4;3;31/12/2015
527;3;3;31/12/2015
528;3;3;31/12/2015
529;2;3;31/12/2015
530;3;3;31/12/2015
531;4;3;31/12/2015
532;3;3;31/12/2015
533;3;3;31/12/2015
534;2;4;31/12/2015
535;3;3;31/12/2015
536;3;3;31/12/2015
537;3;3;31/12/2015
538;2;4;31/12/2015
539;2;3;31/12/2015
540;4;3;31/12/2015
541;3;3;31/12/2015
542;2;3;31/12/2015
543;3;3;31/12/2015
544;3;3;31/12/2015
545;2;3;31/12/2015
546;3;4;31/12/2015
547;3;3;31/12/2015
548;3;3;31/12/2015
549;3;3;31/12/2015
550;2;3;31/12/2015
551;4;3;31/12/2015
552;3;3;31/12/2015
553;3;3;31/12/2015
554;3;4;31/12/2015
555;3;3;31/12/2015
556;3;3;31/12/2015
557;3;3;31/12/2015
558;2;3;31/12/2015
559;3;3;31/12/2015
560;4;3;31/12/2015
561;3;3;31/12/2015
562;3;3;31/12/2015
563;3;3;31/12/2015
564;2;4;31/12/2015
565;2;3;31/12/2015
566;1;3;31/12/2015
567;4;3;31/12/2015
568;1;4;31/12/2015
569;2;3;31/12/2015
570;3;3;31/12/2015
571;4;3;31/12/2015
572;2;3;31/12/2015
573;3;3;31/12/2015
574;4;3;31/12/2015
575;3;3;31/12/2015
576;3;3;31/12/2015
577;3;3;31/12/2015
578;2;3;31/12/2015
579;1;3;31/12/2015
580;1;3;31/12/2015
581;1;3;31/12/2015
582;2;4;31/12/2015
583;3;4;31/12/2015
584;3;3;31/12/2015
585;1;3;31/12/2015
586;3;4;31/12/2015
587;3;3;31/12/2015
588;3;4;31/12/2015
589;3;3;31/12/2015
590;3;3;31/12/2015
591;3;3;31/12/2015
592;3;3;31/12/2015
593;2;3;31/12/2015
594;1;3;31/12/2015
595;3;4;31/12/2015
596;3;3;31/12/2015
597;3;3;31/12/2015
598;1;3;31/12/2015
599;3;3;31/12/2015
600;1;3;31/12/2015
601;2;3;31/12/2015
602;3;3;31/12/2015
603;2;4;31/12/2015
604;3;3;31/12/2015
605;3;3;31/12/2015
606;1;3;31/12/2015
607;4;3;31/12/2015
608;2;3;31/12/2015
609;4;3;31/12/2015
610;3;4;31/12/2015
611;3;3;31/12/2015
612;3;4;31/12/2015
613;2;4;31/12/2015
614;3;3;31/12/2015
615;2;3;31/12/2015
616;4;3;31/12/2015
617;3;3;31/12/2015
618;1;3;31/12/2015
619;2;3;31/12/2015
620;3;4;31/12/2015
621;2;3;31/12/2015
622;3;3;31/12/2015
623;3;3;31/12/2015
624;3;3;31/12/2015
625;2;3;31/12/2015
626;3;3;31/12/2015
627;1;3;31/12/2015
628;3;4;31/12/2015
629;2;3;31/12/2015
630;3;3;31/12/2015
631;2;4;31/12/2015
632;3;4;31/12/2015
633;2;3;31/12/2015
634;3;4;31/12/2015
635;3;3;31/12/2015
636;3;4;31/12/2015
637;3;3;31/12/2015
638;3;3;31/12/2015
639;4;3;31/12/2015
640;3;3;31/12/2015
641;3;3;31/12/2015
642;2;3;31/12/2015
643;3;3;31/12/2015
644;4;3;31/12/2015
645;3;3;31/12/2015
646;3;3;31/12/2015
647;3;3;31/12/2015
648;3;3;31/12/2015
649;3;3;31/12/2015
650;3;3;31/12/2015
651;4;3;31/12/2015
652;3;4;31/12/2015
653;3;3;31/12/2015
654;3;3;31/12/2015
655;3;3;31/12/2015
656;3;3;31/12/2015
657;4;4;31/12/2015
658;3;3;31/12/2015
659;1;3;31/12/2015
660;2;3;31/12/2015
661;3;3;31/12/2015
662;3;4;31/12/2015
663;3;3;31/12/2015
664;3;3;31/12/2015
665;1;3;31/12/2015
666;3;3;31/12/2015
667;3;3;31/12/2015
668;3;3;31/12/2015
669;4;3;31/12/2015
670;2;4;31/12/2015
671;3;3;31/12/2015
672;3;3;31/12/2015
673;3;3;31/12/2015
674;3;3;31/12/2015
675;3;3;31/12/2015
676;3;3;31/12/2015
677;3;4;31/12/2015
678;3;3;31/12/2015
679;3;3;31/12/2015
680;3;3;31/12/2015
681;1;3;31/12/2015
682;3;3;31/12/2015
683;2;4;31/12/2015
684;4;3;31/12/2015
685;2;3;31/12/2015
686;2;3;31/12/2015
687;2;3;31/12/2015
688;2;4;31/12/2015
689;2;3;31/12/2015
690;3;3;31/12/2015
691;2;3;31/12/2015
692;3;3;31/12/2015
693;2;3;31/12/2015
694;3;3;31/12/2015
695;3;3;31/12/2015
696;3;3;31/12/2015
697;2;3;31/12/2015
698;3;3;31/12/2015
699;3;3;31/12/2015
700;3;3;31/12/2015
701;3;4;31/12/2015
702;2;3;31/12/2015
703;2;3;31/12/2015
704;2;3;31/12/2015
705;3;3;31/12/2015
706;2;3;31/12/2015
707;4;3;31/12/2015
708;3;3;31/12/2015
709;4;3;31/12/2015
710;1;4;31/12/2015
711;3;3;31/12/2015
712;2;4;31/12/2015
713;3;3;31/12/2015
714;3;3;31/12/2015
715;3;4;31/12/2015
716;2;3;31/12/2015
717;4;3;31/12/2015
718;4;3;31/12/2015
719;3;3;31/12/2015
720;3;3;31/12/2015
721;2;3;31/12/2015
722;4;3;31/12/2015
723;1;3;31/12/2015
724;3;3;31/12/2015
725;2;3;31/12/2015
726;3;4;31/12/2015
727;3;3;31/12/2015
728;2;3;31/12/2015
729;3;3;31/12/2015
730;2;3;31/12/2015
731;3;3;31/12/2015
732;4;3;31/12/2015
733;3;3;31/12/2015
734;3;3;31/12/2015
735;3;3;31/12/2015
736;2;3;31/12/2015
737;3;3;31/12/2015
738;3;3;31/12/2015
739;3;3;31/12/2015
740;4;3;31/12/2015
741;3;4;31/12/2015
742;3;3;31/12/2015
743;3;3;31/12/2015
744;3;3;31/12/2015
745;3;3;31/12/2015
746;1;3;31/12/2015
747;2;4;31/12/2015
748;2;3;31/12/2015
749;3;3;31/12/2015
750;3;3;31/12/2015
751;2;3;31/12/2015
752;3;3;31/12/2015
753;3;3;31/12/2015
754;3;3;31/12/2015
755;3;3;31/12/2015
756;3;3;31/12/2015
757;3;3;31/12/2015
758;4;3;31/12/2015
759;1;3;31/12/2015
760;3;3;31/12/2015
761;2;3;31/12/2015
762;3;3;31/12/2015
763;3;3;31/12/2015
764;2;3;31/12/2015
765;3;4;31/12/2015
766;3;3;31/12/2015
767;3;3;31/12/2015
768;3;3;31/12/2015
769;3;3;31/12/2015
770;3;3;31/12/2015
771;3;3;31/12/2015
772;2;3;31/12/2015
773;3;3;31/12/2015
774;3;3;31/12/2015
775;2;3;31/12/2015
776;3;3;31/12/2015
777;3;3;31/12/2015
778;3;3;31/12/2015
779;3;4;31/12/2015
780;3;3;31/12/2015
781;3;3;31/12/2015
782;3;3;31/12/2015
783;2;3;31/12/2015
784;3;3;31/12/2015
785;2;3;31/12/2015
786;3;4;31/12/2015
787;1;3;31/12/2015
788;3;3;31/12/2015
789;4;3;31/12/2015
790;3;3;31/12/2015
791;3;3;31/12/2015
792;3;4;31/12/2015
793;3;4;31/12/2015
794;3;3;31/12/2015
795;3;3;31/12/2015
796;2;3;31/12/2015
797;3;3;31/12/2015
798;3;4;31/12/2015
799;3;4;31/12/2015
800;3;3;31/12/2015
801;3;3;31/12/2015
802;2;3;31/12/2015
803;2;3;31/12/2015
804;1;3;31/12/2015
805;2;4;31/12/2015
806;3;3;31/12/2015
807;3;3;31/12/2015
808;3;3;31/12/2015
809;3;4;31/12/2015
810;2;3;31/12/2015
811;3;3;31/12/2015
812;2;3;31/12/2015
813;3;3;31/12/2015
814;3;3;31/12/2015
815;1;3;31/12/2015
816;2;3;31/12/2015
817;2;3;31/12/2015
818;2;4;31/12/2015
819;2;3;31/12/2015
820;3;3;31/12/2015
821;2;3;31/12/2015
822;4;3;31/12/2015
823;2;3;31/12/2015
824;4;3;31/12/2015
825;2;3;31/12/2015
826;4;3;31/12/2015
827;3;3;31/12/2015
828;2;3;31/12/2015
829;2;3;31/12/2015
830;3;3;31/12/2015
831;3;3;31/12/2015
832;3;3;31/12/2015
833;4;3;31/12/2015
834;3;3;31/12/2015
835;2;4;31/12/2015
836;3;3;31/12/2015
837;4;3;31/12/2015
838;2;3;31/12/2015
839;3;3;31/12/2015
840;3;3;31/12/2015
841;2;3;31/12/2015
842;4;4;31/12/2015
843;4;3;31/12/2015
844;4;4;31/12/2015
845;2;3;31/12/2015
846;3;3;31/12/2015
847;4;3;31/12/2015
848;2;4;31/12/2015
849;3;3;31/12/2015
850;3;3;31/12/2015
851;3;3;31/12/2015
852;3;3;31/12/2015
853;1;3;31/12/2015
854;3;4;31/12/2015
855;2;3;31/12/2015
856;3;3;31/12/2015
857;3;3;31/12/2015
858;3;3;31/12/2015
859;2;3;31/12/2015
860;3;3;31/12/2015
861;3;3;31/12/2015
862;4;4;31/12/2015
863;2;3;31/12/2015
864;3;3;31/12/2015
865;2;3;31/12/2015
866;4;3;31/12/2015
867;3;3;31/12/2015
868;3;4;31/12/2015
869;1;3;31/12/2015
870;3;3;31/12/2015
871;3;3;31/12/2015
872;3;3;31/12/2015
873;3;3;31/12/2015
874;3;3;31/12/2015
875;3;3;31/12/2015
876;4;4;31/12/2015
877;2;3;31/12/2015
878;3;3;31/12/2015
879;3;3;31/12/2015
880;2;3;31/12/2015
881;2;4;31/12/2015
882;3;3;31/12/2015
883;3;4;31/12/2015
884;3;3;31/12/2015
885;3;3;31/12/2015
886;2;3;31/12/2015
887;3;4;31/12/2015
888;3;3;31/12/2015
889;2;3;31/12/2015
890;3;3;31/12/2015
891;3;3;31/12/2015
892;3;3;31/12/2015
893;2;4;31/12/2015
894;3;3;31/12/2015
895;3;3;31/12/2015
896;2;3;31/12/2015
897;2;3;31/12/2015
898;3;3;31/12/2015
899;3;3;31/12/2015
900;3;3;31/12/2015
901;4;3;31/12/2015
902;3;3;31/12/2015
903;2;3;31/12/2015
904;3;3;31/12/2015
905;3;3;31/12/2015
906;3;3;31/12/2015
907;2;3;31/12/2015
908;2;3;31/12/2015
909;3;3;31/12/2015
910;1;3;31/12/2015
911;3;4;31/12/2015
912;1;3;31/12/2015
913;3;4;31/12/2015
914;3;3;31/12/2015
915;2;3;31/12/2015
916;2;4;31/12/2015
917;2;3;31/12/2015
918;3;3;31/12/2015
919;2;4;31/12/2015
920;2;3;31/12/2015
921;3;3;31/12/2015
922;3;3;31/12/2015
923;3;3;31/12/2015
924;3;3;31/12/2015
925;3;3;31/12/2015
926;3;3;31/12/2015
927;3;3;31/12/2015
928;3;3;31/12/2015
929;2;3;31/12/2015
930;3;3;31/12/2015
931;2;3;31/12/2015
932;2;3;31/12/2015
933;3;3;31/12/2015
934;2;3;31/12/2015
935;2;3;31/12/2015
936;3;3;31/12/2015
937;2;4;31/12/2015
938;1;3;31/12/2015
939;4;3;31/12/2015
940;3;3;31/12/2015
941;2;3;31/12/2015
942;3;3;31/12/2015
943;2;3;31/12/2015
944;3;3;31/12/2015
945;3;3;31/12/2015
946;3;3;31/12/2015
947;1;3;31/12/2015
948;3;3;31/12/2015
949;3;4;31/12/2015
950;3;3;31/12/2015
951;1;3;31/12/2015
952;2;3;31/12/2015
953;3;3;31/12/2015
954;3;3;31/12/2015
955;3;3;31/12/2015
956;3;3;31/12/2015
957;4;3;31/12/2015
958;3;3;31/12/2015
959;1;3;31/12/2015
960;3;3;31/12/2015
961;3;3;31/12/2015
962;3;3;31/12/2015
963;1;3;31/12/2015
964;2;3;31/12/2015
965;2;3;31/12/2015
966;3;3;31/12/2015
967;3;3;31/12/2015
968;3;4;31/12/2015
969;3;3;31/12/2015
970;3;3;31/12/2015
971;1;3;31/12/2015
972;3;3;31/12/2015
973;2;3;31/12/2015
974;2;3;31/12/2015
975;3;4;31/12/2015
976;3;3;31/12/2015
977;3;3;31/12/2015
978;3;4;31/12/2015
979;3;4;31/12/2015
980;3;3;31/12/2015
981;3;3;31/12/2015
982;3;3;31/12/2015
983;2;3;31/12/2015
984;2;3;31/12/2015
985;2;3;31/12/2015
986;3;3;31/12/2015
987;3;3;31/12/2015
988;3;3;31/12/2015
989;3;3;31/12/2015
990;4;3;31/12/2015
991;2;3;31/12/2015
992;3;3;31/12/2015
993;3;4;31/12/2015
994;3;3;31/12/2015
995;2;3;31/12/2015
996;3;3;31/12/2015
997;3;3;31/12/2015
998;1;3;31/12/2015
999;3;3;31/12/2015
1000;3;3;31/12/2015
1001;3;3;31/12/2015
1002;3;3;31/12/2015
1003;3;3;31/12/2015
1004;2;3;31/12/2015
1005;3;3;31/12/2015
1006;3;3;31/12/2015
1007;3;4;31/12/2015
1008;3;3;31/12/2015
1009;3;3;31/12/2015
1010;2;4;31/12/2015
1011;4;3;31/12/2015
1012;3;3;31/12/2015
1013;3;3;31/12/2015
1014;4;3;31/12/2015
1015;2;3;31/12/2015
1016;3;3;31/12/2015
1017;2;3;31/12/2015
1018;3;3;31/12/2015
1019;2;3;31/12/2015
1020;4;3;31/12/2015
1021;2;3;31/12/2015
1022;4;3;31/12/2015
1023;3;3;31/12/2015
1024;3;4;31/12/2015
1025;3;3;31/12/2015
1026;3;3;31/12/2015
1027;2;3;31/12/2015
1028;3;3;31/12/2015
1029;3;3;31/12/2015
1030;3;3;31/12/2015
1031;3;3;31/12/2015
1032;3;3;31/12/2015
1033;4;4;31/12/2015
1034;3;3;31/12/2015
1035;2;3;31/12/2015
1036;3;3;31/12/2015
1037;1;3;31/12/2015
1038;2;3;31/12/2015
1039;3;3;31/12/2015
1040;2;3;31/12/2015
1041;3;3;31/12/2015
1042;3;3;31/12/2015
1043;2;3;31/12/2015
1044;3;3;31/12/2015
1045;2;3;31/12/2015
1046;3;3;31/12/2015
1047;3;3;31/12/2015
1048;2;3;31/12/2015
1049;3;3;31/12/2015
1050;3;3;31/12/2015
1051;1;3;31/12/2015
1052;2;3;31/12/2015
1053;3;3;31/12/2015
1054;3;4;31/12/2015
1055;3;3;31/12/2015
1056;2;3;31/12/2015
1057;2;3;31/12/2015
1058;3;3;31/12/2015
1059;3;4;31/12/2015
1060;3;3;31/12/2015
1061;3;3;31/12/2015
1062;3;3;31/12/2015
1063;3;3;31/12/2015
1064;2;3;31/12/2015
1065;3;4;31/12/2015
1066;2;3;31/12/2015
1067;3;3;31/12/2015
