EmployeeID;EnvironmentSatisfaction;JobSatisfaction;WorkLifeBalance;DateSurvey
65;1.0;4.0;2.0;31/12/2015
66;1.0;4.0;2.0;31/12/2015
67;4.0;4.0;3.0;31/12/2015
68;3.0;3.0;3.0;31/12/2015
69;3.0;4.0;3.0;31/12/2015
70;4.0;3.0;2.0;31/12/2015
71;2.0;4.0;2.0;31/12/2015
72;4.0;3.0;3.0;31/12/2015
73;3.0;3.0;4.0;31/12/2015
74;3.0;2.0;3.0;31/12/2015
75;4.0;3.0;2.0;31/12/2015
76;3.0;1.0;2.0;31/12/2015
77;4.0;4.0;3.0;31/12/2015
78;2.0;4.0;2.0;31/12/2015
79;2.0;1.0;2.0;31/12/2015
80;2.0;4.0;3.0;31/12/2015
81;4.0;3.0;3.0;31/12/2015
82;2.0;2.0;3.0;31/12/2015
83;4.0;4.0;2.0;31/12/2015
84;3.0;4.0;3.0;31/12/2015
85;3.0;4.0;;31/12/2015
86;4.0;2.0;3.0;31/12/2015
87;3.0;2.0;3.0;31/12/2015
88;3.0;4.0;2.0;31/12/2015
89;4.0;2.0;3.0;31/12/2015
90;2.0;3.0;3.0;31/12/2015
91;1.0;4.0;3.0;31/12/2015
92;4.0;3.0;2.0;31/12/2015
93;3.0;3.0;3.0;31/12/2015
94;3.0;2.0;3.0;31/12/2015
95;1.0;3.0;1.0;31/12/2015
96;3.0;1.0;3.0;31/12/2015
97;4.0;3.0;4.0;31/12/2015
98;3.0;3.0;3.0;31/12/2015
99;1.0;4.0;3.0;31/12/2015
100;1.0;2.0;3.0;31/12/2015
101;4.0;4.0;3.0;31/12/2015
102;1.0;4.0;3.0;31/12/2015
103;4.0;3.0;3.0;31/12/2015
104;4.0;3.0;3.0;31/12/2015
105;1.0;4.0;2.0;31/12/2015
106;4.0;3.0;3.0;31/12/2015
107;3.0;1.0;3.0;31/12/2015
108;3.0;3.0;4.0;31/12/2015
109;1.0;2.0;3.0;31/12/2015
110;4.0;4.0;3.0;31/12/2015
111;3.0;3.0;3.0;31/12/2015
112;;2.0;3.0;31/12/2015
113;3.0;2.0;3.0;31/12/2015
114;4.0;4.0;3.0;31/12/2015
115;3.0;2.0;3.0;31/12/2015
116;4.0;2.0;3.0;31/12/2015
117;2.0;4.0;3.0;31/12/2015
118;2.0;3.0;3.0;31/12/2015
119;3.0;4.0;2.0;31/12/2015
120;4.0;3.0;3.0;31/12/2015
121;1.0;4.0;2.0;31/12/2015
122;3.0;4.0;3.0;31/12/2015
123;4.0;3.0;4.0;31/12/2015
124;3.0;2.0;3.0;31/12/2015
125;3.0;;3.0;31/12/2015
126;1.0;2.0;3.0;31/12/2015
127;2.0;3.0;3.0;31/12/2015
128;3.0;4.0;3.0;31/12/2015
129;4.0;1.0;2.0;31/12/2015
130;4.0;2.0;3.0;31/12/2015
131;2.0;1.0;3.0;31/12/2015
132;3.0;2.0;2.0;31/12/2015
133;1.0;2.0;3.0;31/12/2015
134;2.0;3.0;3.0;31/12/2015
135;1.0;1.0;2.0;31/12/2015
136;3.0;3.0;3.0;31/12/2015
137;2.0;1.0;1.0;31/12/2015
138;4.0;4.0;3.0;31/12/2015
139;3.0;3.0;3.0;31/12/2015
140;2.0;4.0;3.0;31/12/2015
141;2.0;3.0;3.0;31/12/2015
142;4.0;1.0;3.0;31/12/2015
143;2.0;3.0;3.0;31/12/2015
144;3.0;1.0;2.0;31/12/2015
145;2.0;3.0;3.0;31/12/2015
146;2.0;1.0;3.0;31/12/2015
147;3.0;1.0;3.0;31/12/2015
148;1.0;1.0;3.0;31/12/2015
149;4.0;3.0;3.0;31/12/2015
150;1.0;4.0;2.0;31/12/2015
151;4.0;4.0;1.0;31/12/2015
152;1.0;3.0;3.0;31/12/2015
153;3.0;4.0;3.0;31/12/2015
154;1.0;1.0;1.0;31/12/2015
155;3.0;3.0;2.0;31/12/2015
156;4.0;4.0;4.0;31/12/2015
157;1.0;2.0;3.0;31/12/2015
158;4.0;3.0;2.0;31/12/2015
159;4.0;4.0;3.0;31/12/2015
160;3.0;3.0;3.0;31/12/2015
161;1.0;4.0;1.0;31/12/2015
162;3.0;4.0;1.0;31/12/2015
163;2.0;3.0;3.0;31/12/2015
164;3.0;2.0;4.0;31/12/2015
165;1.0;4.0;4.0;31/12/2015
166;3.0;1.0;3.0;31/12/2015
167;1.0;4.0;2.0;31/12/2015
168;2.0;3.0;3.0;31/12/2015
169;3.0;4.0;2.0;31/12/2015
170;3.0;1.0;4.0;31/12/2015
171;1.0;4.0;3.0;31/12/2015
172;1.0;3.0;1.0;31/12/2015
173;4.0;3.0;3.0;31/12/2015
174;3.0;3.0;3.0;31/12/2015
175;4.0;3.0;3.0;31/12/2015
176;3.0;4.0;3.0;31/12/2015
177;3.0;2.0;4.0;31/12/2015
178;2.0;3.0;4.0;31/12/2015
179;1.0;4.0;3.0;31/12/2015
180;4.0;2.0;3.0;31/12/2015
181;4.0;3.0;3.0;31/12/2015
182;1.0;3.0;3.0;31/12/2015
183;2.0;1.0;3.0;31/12/2015
184;2.0;3.0;3.0;31/12/2015
185;2.0;4.0;2.0;31/12/2015
186;3.0;3.0;3.0;31/12/2015
187;2.0;4.0;3.0;31/12/2015
188;1.0;2.0;3.0;31/12/2015
189;4.0;4.0;3.0;31/12/2015
190;2.0;3.0;3.0;31/12/2015
191;2.0;3.0;3.0;31/12/2015
192;3.0;3.0;3.0;31/12/2015
193;2.0;4.0;4.0;31/12/2015
194;4.0;1.0;2.0;31/12/2015
195;4.0;2.0;4.0;31/12/2015
196;;3.0;2.0;31/12/2015
197;4.0;4.0;4.0;31/12/2015
198;1.0;3.0;3.0;31/12/2015
199;3.0;4.0;2.0;31/12/2015
200;2.0;2.0;3.0;31/12/2015
201;3.0;1.0;3.0;31/12/2015
202;1.0;3.0;3.0;31/12/2015
203;1.0;3.0;3.0;31/12/2015
204;1.0;3.0;3.0;31/12/2015
205;4.0;4.0;3.0;31/12/2015
206;3.0;4.0;1.0;31/12/2015
207;2.0;4.0;4.0;31/12/2015
208;1.0;3.0;2.0;31/12/2015
209;2.0;1.0;3.0;31/12/2015
210;1.0;2.0;3.0;31/12/2015
211;4.0;1.0;3.0;31/12/2015
212;4.0;3.0;3.0;31/12/2015
213;4.0;4.0;3.0;31/12/2015
214;3.0;3.0;3.0;31/12/2015
215;2.0;2.0;2.0;31/12/2015
216;4.0;3.0;3.0;31/12/2015
217;2.0;4.0;3.0;31/12/2015
218;1.0;2.0;4.0;31/12/2015
219;4.0;2.0;3.0;31/12/2015
220;1.0;2.0;3.0;31/12/2015
221;2.0;3.0;3.0;31/12/2015
222;1.0;3.0;3.0;31/12/2015
223;2.0;1.0;4.0;31/12/2015
224;2.0;4.0;3.0;31/12/2015
225;2.0;1.0;1.0;31/12/2015
226;1.0;4.0;3.0;31/12/2015
227;1.0;4.0;4.0;31/12/2015
228;1.0;3.0;2.0;31/12/2015
229;4.0;3.0;2.0;31/12/2015
230;4.0;2.0;4.0;31/12/2015
231;3.0;4.0;3.0;31/12/2015
232;2.0;4.0;2.0;31/12/2015
233;3.0;1.0;2.0;31/12/2015
234;4.0;3.0;3.0;31/12/2015
235;4.0;1.0;1.0;31/12/2015
236;1.0;3.0;4.0;31/12/2015
237;3.0;3.0;3.0;31/12/2015
238;3.0;1.0;3.0;31/12/2015
239;3.0;3.0;3.0;31/12/2015
240;4.0;4.0;4.0;31/12/2015
241;1.0;3.0;3.0;31/12/2015
242;3.0;3.0;3.0;31/12/2015
243;1.0;4.0;2.0;31/12/2015
244;3.0;3.0;3.0;31/12/2015
245;4.0;1.0;4.0;31/12/2015
246;2.0;4.0;2.0;31/12/2015
247;1.0;1.0;3.0;31/12/2015
248;3.0;4.0;3.0;31/12/2015
249;3.0;3.0;3.0;31/12/2015
250;2.0;3.0;2.0;31/12/2015
251;2.0;4.0;3.0;31/12/2015
252;3.0;4.0;1.0;31/12/2015
253;3.0;2.0;4.0;31/12/2015
254;2.0;2.0;3.0;31/12/2015
255;1.0;4.0;3.0;31/12/2015
256;4.0;3.0;3.0;31/12/2015
257;1.0;1.0;3.0;31/12/2015
258;3.0;3.0;3.0;31/12/2015
259;1.0;1.0;4.0;31/12/2015
260;4.0;2.0;3.0;31/12/2015
261;4.0;4.0;3.0;31/12/2015
262;2.0;4.0;3.0;31/12/2015
263;2.0;2.0;3.0;31/12/2015
264;4.0;4.0;3.0;31/12/2015
265;4.0;4.0;3.0;31/12/2015
266;4.0;3.0;3.0;31/12/2015
267;4.0;2.0;4.0;31/12/2015
268;1.0;3.0;3.0;31/12/2015
269;4.0;3.0;3.0;31/12/2015
270;4.0;4.0;2.0;31/12/2015
271;2.0;3.0;3.0;31/12/2015
272;2.0;4.0;2.0;31/12/2015
273;3.0;1.0;3.0;31/12/2015
274;3.0;4.0;;31/12/2015
275;4.0;1.0;3.0;31/12/2015
276;4.0;1.0;3.0;31/12/2015
277;3.0;3.0;3.0;31/12/2015
278;2.0;4.0;2.0;31/12/2015
279;1.0;1.0;3.0;31/12/2015
280;4.0;1.0;2.0;31/12/2015
281;4.0;3.0;3.0;31/12/2015
282;4.0;2.0;3.0;31/12/2015
283;1.0;2.0;3.0;31/12/2015
284;1.0;1.0;3.0;31/12/2015
285;3.0;3.0;4.0;31/12/2015
286;1.0;3.0;3.0;31/12/2015
287;4.0;3.0;2.0;31/12/2015
288;3.0;4.0;2.0;31/12/2015
289;3.0;3.0;3.0;31/12/2015
290;3.0;3.0;3.0;31/12/2015
291;4.0;4.0;3.0;31/12/2015
292;2.0;3.0;3.0;31/12/2015
293;2.0;1.0;4.0;31/12/2015
294;3.0;2.0;1.0;31/12/2015
295;3.0;4.0;2.0;31/12/2015
296;4.0;4.0;2.0;31/12/2015
297;4.0;1.0;1.0;31/12/2015
298;4.0;2.0;3.0;31/12/2015
299;4.0;4.0;3.0;31/12/2015
300;4.0;1.0;4.0;31/12/2015
301;;4.0;3.0;31/12/2015
302;4.0;3.0;1.0;31/12/2015
303;2.0;1.0;3.0;31/12/2015
304;3.0;1.0;4.0;31/12/2015
305;4.0;4.0;2.0;31/12/2015
306;3.0;4.0;2.0;31/12/2015
307;2.0;3.0;3.0;31/12/2015
308;1.0;3.0;3.0;31/12/2015
309;2.0;3.0;3.0;31/12/2015
310;4.0;4.0;3.0;31/12/2015
311;4.0;1.0;3.0;31/12/2015
312;1.0;1.0;3.0;31/12/2015
313;4.0;4.0;3.0;31/12/2015
314;1.0;;3.0;31/12/2015
315;2.0;3.0;2.0;31/12/2015
316;4.0;1.0;2.0;31/12/2015
317;2.0;4.0;3.0;31/12/2015
318;4.0;1.0;3.0;31/12/2015
319;3.0;4.0;3.0;31/12/2015
320;4.0;1.0;2.0;31/12/2015
321;1.0;1.0;3.0;31/12/2015
322;3.0;1.0;3.0;31/12/2015
323;1.0;4.0;2.0;31/12/2015
324;4.0;3.0;3.0;31/12/2015
325;3.0;2.0;3.0;31/12/2015
326;3.0;1.0;3.0;31/12/2015
327;2.0;4.0;2.0;31/12/2015
328;3.0;1.0;3.0;31/12/2015
329;3.0;2.0;3.0;31/12/2015
330;4.0;3.0;3.0;31/12/2015
331;3.0;3.0;3.0;31/12/2015
332;2.0;1.0;3.0;31/12/2015
333;3.0;3.0;4.0;31/12/2015
334;1.0;1.0;3.0;31/12/2015
335;3.0;4.0;2.0;31/12/2015
336;3.0;2.0;3.0;31/12/2015
337;3.0;3.0;3.0;31/12/2015
338;4.0;2.0;3.0;31/12/2015
339;4.0;3.0;3.0;31/12/2015
340;4.0;4.0;3.0;31/12/2015
341;3.0;3.0;2.0;31/12/2015
342;3.0;2.0;3.0;31/12/2015
343;3.0;3.0;3.0;31/12/2015
344;1.0;3.0;3.0;31/12/2015
345;3.0;4.0;2.0;31/12/2015
346;2.0;3.0;3.0;31/12/2015
347;2.0;2.0;2.0;31/12/2015
348;1.0;1.0;2.0;31/12/2015
349;3.0;4.0;3.0;31/12/2015
350;3.0;4.0;4.0;31/12/2015
351;3.0;4.0;2.0;31/12/2015
352;2.0;1.0;3.0;31/12/2015
353;3.0;4.0;3.0;31/12/2015
354;3.0;3.0;4.0;31/12/2015
355;2.0;2.0;3.0;31/12/2015
356;3.0;4.0;1.0;31/12/2015
357;3.0;3.0;3.0;31/12/2015
358;4.0;4.0;2.0;31/12/2015
359;1.0;3.0;2.0;31/12/2015
360;4.0;2.0;2.0;31/12/2015
361;1.0;1.0;2.0;31/12/2015
362;1.0;1.0;3.0;31/12/2015
363;3.0;1.0;2.0;31/12/2015
364;2.0;4.0;2.0;31/12/2015
365;2.0;4.0;2.0;31/12/2015
366;2.0;4.0;2.0;31/12/2015
367;1.0;4.0;3.0;31/12/2015
368;4.0;1.0;3.0;31/12/2015
369;3.0;3.0;2.0;31/12/2015
370;3.0;4.0;3.0;31/12/2015
371;4.0;3.0;3.0;31/12/2015
372;2.0;4.0;3.0;31/12/2015
373;4.0;4.0;1.0;31/12/2015
374;1.0;4.0;2.0;31/12/2015
375;2.0;4.0;3.0;31/12/2015
376;1.0;1.0;3.0;31/12/2015
377;3.0;1.0;3.0;31/12/2015
378;4.0;3.0;3.0;31/12/2015
379;4.0;2.0;2.0;31/12/2015
380;4.0;4.0;3.0;31/12/2015
381;3.0;1.0;4.0;31/12/2015
382;3.0;1.0;3.0;31/12/2015
383;1.0;4.0;2.0;31/12/2015
384;2.0;2.0;3.0;31/12/2015
385;2.0;2.0;3.0;31/12/2015
386;3.0;4.0;2.0;31/12/2015
387;4.0;4.0;3.0;31/12/2015
388;2.0;3.0;3.0;31/12/2015
389;1.0;4.0;3.0;31/12/2015
390;4.0;2.0;3.0;31/12/2015
391;3.0;4.0;3.0;31/12/2015
392;4.0;4.0;3.0;31/12/2015
393;4.0;4.0;2.0;31/12/2015
394;3.0;4.0;3.0;31/12/2015
395;1.0;2.0;3.0;31/12/2015
396;1.0;1.0;3.0;31/12/2015
397;4.0;4.0;3.0;31/12/2015
398;4.0;2.0;4.0;31/12/2015
399;1.0;4.0;1.0;31/12/2015
400;1.0;4.0;3.0;31/12/2015
401;2.0;1.0;3.0;31/12/2015
402;1.0;4.0;3.0;31/12/2015
403;4.0;4.0;2.0;31/12/2015
404;1.0;2.0;4.0;31/12/2015
405;3.0;3.0;2.0;31/12/2015
406;;4.0;2.0;31/12/2015
407;3.0;4.0;2.0;31/12/2015
408;4.0;4.0;2.0;31/12/2015
409;2.0;3.0;4.0;31/12/2015
410;2.0;4.0;2.0;31/12/2015
411;3.0;3.0;3.0;31/12/2015
412;4.0;1.0;1.0;31/12/2015
413;2.0;3.0;3.0;31/12/2015
414;2.0;2.0;3.0;31/12/2015
415;3.0;3.0;3.0;31/12/2015
416;3.0;1.0;3.0;31/12/2015
417;3.0;2.0;3.0;31/12/2015
418;2.0;3.0;4.0;31/12/2015
419;4.0;4.0;1.0;31/12/2015
420;1.0;2.0;2.0;31/12/2015
421;4.0;3.0;2.0;31/12/2015
422;4.0;3.0;2.0;31/12/2015
423;2.0;4.0;3.0;31/12/2015
424;4.0;1.0;3.0;31/12/2015
425;3.0;2.0;3.0;31/12/2015
426;3.0;2.0;3.0;31/12/2015
427;1.0;2.0;2.0;31/12/2015
428;3.0;1.0;3.0;31/12/2015
429;4.0;1.0;3.0;31/12/2015
430;3.0;3.0;3.0;31/12/2015
431;4.0;2.0;4.0;31/12/2015
432;1.0;1.0;3.0;31/12/2015
433;4.0;4.0;1.0;31/12/2015
434;4.0;2.0;3.0;31/12/2015
435;3.0;1.0;4.0;31/12/2015
436;3.0;4.0;3.0;31/12/2015
437;2.0;4.0;3.0;31/12/2015
438;1.0;3.0;1.0;31/12/2015
439;3.0;2.0;2.0;31/12/2015
440;3.0;4.0;3.0;31/12/2015
441;3.0;3.0;3.0;31/12/2015
442;4.0;4.0;2.0;31/12/2015
443;4.0;3.0;3.0;31/12/2015
444;3.0;3.0;4.0;31/12/2015
445;3.0;3.0;4.0;31/12/2015
446;3.0;4.0;3.0;31/12/2015
447;4.0;4.0;3.0;31/12/2015
448;1.0;3.0;3.0;31/12/2015
449;2.0;2.0;2.0;31/12/2015
450;3.0;3.0;4.0;31/12/2015
451;1.0;4.0;3.0;31/12/2015
452;3.0;1.0;3.0;31/12/2015
453;4.0;3.0;3.0;31/12/2015
454;4.0;1.0;3.0;31/12/2015
455;2.0;4.0;3.0;31/12/2015
456;4.0;4.0;3.0;31/12/2015
457;4.0;4.0;2.0;31/12/2015
458;3.0;2.0;3.0;31/12/2015
459;1.0;3.0;4.0;31/12/2015
460;3.0;2.0;3.0;31/12/2015
461;4.0;1.0;3.0;31/12/2015
462;4.0;4.0;3.0;31/12/2015
463;1.0;3.0;3.0;31/12/2015
464;4.0;3.0;3.0;31/12/2015
465;3.0;3.0;2.0;31/12/2015
466;4.0;3.0;3.0;31/12/2015
467;4.0;3.0;3.0;31/12/2015
468;3.0;2.0;1.0;31/12/2015
469;3.0;1.0;3.0;31/12/2015
470;2.0;4.0;3.0;31/12/2015
471;3.0;3.0;3.0;31/12/2015
472;3.0;3.0;2.0;31/12/2015
473;2.0;1.0;2.0;31/12/2015
474;4.0;1.0;3.0;31/12/2015
475;2.0;2.0;3.0;31/12/2015
476;4.0;4.0;3.0;31/12/2015
477;2.0;1.0;2.0;31/12/2015
478;1.0;3.0;3.0;31/12/2015
479;3.0;3.0;3.0;31/12/2015
480;4.0;3.0;3.0;31/12/2015
481;4.0;4.0;3.0;31/12/2015
482;1.0;4.0;3.0;31/12/2015
483;2.0;4.0;2.0;31/12/2015
484;4.0;3.0;;31/12/2015
485;1.0;4.0;3.0;31/12/2015
486;3.0;4.0;3.0;31/12/2015
487;1.0;2.0;1.0;31/12/2015
488;3.0;2.0;3.0;31/12/2015
489;2.0;3.0;3.0;31/12/2015
490;;4.0;3.0;31/12/2015
491;2.0;1.0;3.0;31/12/2015
492;1.0;4.0;3.0;31/12/2015
493;4.0;4.0;3.0;31/12/2015
494;4.0;3.0;3.0;31/12/2015
495;3.0;1.0;3.0;31/12/2015
496;4.0;1.0;3.0;31/12/2015
497;2.0;4.0;2.0;31/12/2015
498;4.0;4.0;4.0;31/12/2015
499;4.0;3.0;3.0;31/12/2015
500;2.0;4.0;2.0;31/12/2015
501;2.0;4.0;1.0;31/12/2015
502;2.0;2.0;3.0;31/12/2015
503;3.0;2.0;3.0;31/12/2015
504;1.0;3.0;2.0;31/12/2015
505;1.0;1.0;3.0;31/12/2015
506;3.0;3.0;3.0;31/12/2015
507;4.0;2.0;3.0;31/12/2015
508;3.0;3.0;3.0;31/12/2015
509;2.0;3.0;2.0;31/12/2015
510;4.0;2.0;2.0;31/12/2015
511;3.0;1.0;2.0;31/12/2015
512;1.0;3.0;3.0;31/12/2015
513;4.0;4.0;3.0;31/12/2015
514;3.0;3.0;3.0;31/12/2015
515;1.0;3.0;3.0;31/12/2015
516;4.0;4.0;2.0;31/12/2015
517;3.0;1.0;4.0;31/12/2015
518;3.0;4.0;3.0;31/12/2015
519;4.0;4.0;3.0;31/12/2015
520;3.0;1.0;2.0;31/12/2015
521;4.0;1.0;3.0;31/12/2015
522;1.0;3.0;4.0;31/12/2015
523;2.0;1.0;2.0;31/12/2015
524;1.0;1.0;3.0;31/12/2015
525;3.0;1.0;2.0;31/12/2015
526;2.0;3.0;3.0;31/12/2015
527;3.0;3.0;2.0;31/12/2015
528;1.0;4.0;3.0;31/12/2015
529;1.0;3.0;3.0;31/12/2015
530;4.0;2.0;3.0;31/12/2015
531;3.0;3.0;4.0;31/12/2015
532;2.0;1.0;3.0;31/12/2015
533;4.0;4.0;3.0;31/12/2015
534;4.0;1.0;3.0;31/12/2015
535;1.0;3.0;3.0;31/12/2015
536;1.0;3.0;2.0;31/12/2015
537;1.0;4.0;2.0;31/12/2015
538;4.0;4.0;3.0;31/12/2015
539;4.0;4.0;4.0;31/12/2015
540;1.0;3.0;2.0;31/12/2015
541;1.0;2.0;3.0;31/12/2015
542;4.0;1.0;3.0;31/12/2015
543;1.0;2.0;3.0;31/12/2015
544;4.0;3.0;3.0;31/12/2015
545;4.0;2.0;3.0;31/12/2015
546;3.0;4.0;3.0;31/12/2015
547;1.0;4.0;2.0;31/12/2015
548;2.0;3.0;3.0;31/12/2015
549;2.0;2.0;3.0;31/12/2015
550;3.0;3.0;3.0;31/12/2015
551;3.0;4.0;3.0;31/12/2015
552;4.0;2.0;2.0;31/12/2015
553;1.0;3.0;3.0;31/12/2015
554;4.0;2.0;3.0;31/12/2015
555;3.0;1.0;3.0;31/12/2015
556;1.0;4.0;3.0;31/12/2015
557;3.0;3.0;4.0;31/12/2015
558;4.0;2.0;4.0;31/12/2015
559;3.0;2.0;2.0;31/12/2015
560;1.0;4.0;3.0;31/12/2015
561;3.0;4.0;3.0;31/12/2015
562;1.0;2.0;1.0;31/12/2015
563;4.0;4.0;3.0;31/12/2015
564;4.0;2.0;3.0;31/12/2015
565;4.0;3.0;2.0;31/12/2015
566;4.0;2.0;2.0;31/12/2015
567;2.0;4.0;3.0;31/12/2015
568;2.0;4.0;2.0;31/12/2015
569;3.0;3.0;4.0;31/12/2015
570;3.0;3.0;3.0;31/12/2015
571;3.0;3.0;3.0;31/12/2015
572;1.0;1.0;3.0;31/12/2015
573;2.0;4.0;3.0;31/12/2015
574;3.0;3.0;2.0;31/12/2015
575;3.0;4.0;3.0;31/12/2015
576;4.0;3.0;3.0;31/12/2015
577;2.0;3.0;2.0;31/12/2015
578;3.0;3.0;1.0;31/12/2015
579;4.0;1.0;1.0;31/12/2015
580;2.0;3.0;2.0;31/12/2015
581;3.0;1.0;2.0;31/12/2015
582;2.0;1.0;4.0;31/12/2015
583;4.0;3.0;3.0;31/12/2015
584;4.0;2.0;3.0;31/12/2015
585;3.0;4.0;2.0;31/12/2015
586;1.0;4.0;3.0;31/12/2015
587;3.0;;3.0;31/12/2015
588;3.0;4.0;1.0;31/12/2015
589;3.0;2.0;4.0;31/12/2015
590;4.0;1.0;3.0;31/12/2015
591;4.0;4.0;4.0;31/12/2015
592;1.0;3.0;2.0;31/12/2015
593;3.0;1.0;3.0;31/12/2015
594;4.0;1.0;3.0;31/12/2015
595;2.0;4.0;3.0;31/12/2015
596;3.0;1.0;3.0;31/12/2015
597;1.0;3.0;2.0;31/12/2015
598;4.0;4.0;2.0;31/12/2015
599;1.0;3.0;2.0;31/12/2015
600;3.0;3.0;3.0;31/12/2015
601;4.0;3.0;3.0;31/12/2015
602;2.0;4.0;2.0;31/12/2015
603;3.0;4.0;3.0;31/12/2015
604;3.0;1.0;3.0;31/12/2015
605;4.0;3.0;3.0;31/12/2015
606;2.0;3.0;3.0;31/12/2015
607;1.0;1.0;1.0;31/12/2015
608;3.0;1.0;3.0;31/12/2015
609;2.0;2.0;3.0;31/12/2015
610;4.0;1.0;;31/12/2015
611;4.0;1.0;3.0;31/12/2015
612;4.0;2.0;3.0;31/12/2015
613;3.0;1.0;3.0;31/12/2015
614;4.0;2.0;1.0;31/12/2015
615;2.0;3.0;2.0;31/12/2015
616;3.0;3.0;3.0;31/12/2015
617;3.0;3.0;2.0;31/12/2015
618;4.0;4.0;3.0;31/12/2015
619;3.0;4.0;3.0;31/12/2015
620;4.0;4.0;2.0;31/12/2015
621;4.0;1.0;4.0;31/12/2015
622;2.0;4.0;3.0;31/12/2015
623;3.0;2.0;3.0;31/12/2015
624;4.0;3.0;3.0;31/12/2015
625;3.0;1.0;3.0;31/12/2015
626;1.0;4.0;3.0;31/12/2015
627;2.0;2.0;4.0;31/12/2015
628;3.0;4.0;3.0;31/12/2015
629;4.0;2.0;3.0;31/12/2015
630;1.0;1.0;3.0;31/12/2015
631;3.0;4.0;2.0;31/12/2015
632;1.0;1.0;2.0;31/12/2015
633;4.0;3.0;1.0;31/12/2015
634;1.0;4.0;3.0;31/12/2015
635;1.0;2.0;4.0;31/12/2015
636;1.0;4.0;3.0;31/12/2015
637;4.0;4.0;3.0;31/12/2015
638;3.0;1.0;2.0;31/12/2015
639;3.0;1.0;3.0;31/12/2015
640;3.0;4.0;3.0;31/12/2015
641;3.0;4.0;3.0;31/12/2015
642;1.0;3.0;4.0;31/12/2015
643;3.0;2.0;2.0;31/12/2015
644;4.0;2.0;2.0;31/12/2015
645;1.0;3.0;3.0;31/12/2015
646;3.0;4.0;3.0;31/12/2015
647;4.0;4.0;4.0;31/12/2015
648;4.0;4.0;2.0;31/12/2015
649;3.0;3.0;2.0;31/12/2015
650;2.0;2.0;3.0;31/12/2015
651;4.0;3.0;3.0;31/12/2015
652;2.0;4.0;3.0;31/12/2015
653;4.0;3.0;3.0;31/12/2015
654;3.0;4.0;3.0;31/12/2015
655;3.0;4.0;2.0;31/12/2015
656;1.0;2.0;3.0;31/12/2015
657;4.0;2.0;3.0;31/12/2015
658;1.0;3.0;1.0;31/12/2015
659;4.0;2.0;3.0;31/12/2015
660;3.0;1.0;3.0;31/12/2015
661;4.0;2.0;2.0;31/12/2015
662;4.0;4.0;2.0;31/12/2015
663;3.0;2.0;4.0;31/12/2015
664;4.0;3.0;2.0;31/12/2015
